AV120,BOG,MIA,2026-02-06T08:00,2026-02-01T12:00,HK-1234
IB6800,MAD,BOG,2026-02-06T14:00,2026-02-02T18:00,EC-9012
AA990,MIA,JFK,2026-02-07T09:00,2026-02-03T12:00,N-5678
AV010,BOG,MAD,2026-02-08T18:00,2026-02-05T10:00,HK-9999
DL500,JFK,MEX,2026-03-04T10:00,2026-03-04T15:00,N-1010
AM400,MEX,BOG,2026-03-05T12:00,2026-03-05T16:00,XA-2020
IB6500,MAD,MEX,2026-04-06T13:00,2026-04-06T19:00,EC-3030
UA880,JFK,BOG,2026-04-07T08:00,2026-04-07T13:00,N-4040
AV200,BOG,MEX,2026-05-08T15:00,2026-05-08T20:00,HK-5050
LA700,MIA,BOG,2026-05-09T09:00,2026-05-09T13:30,CC-6060
AF400,MAD,JFK,2026-06-10T11:00,2026-06-10T14:00,F-7070
AM500,MEX,MIA,2026-06-11T16:00,2026-06-11T20:00,XA-8080
